,Discharge,Sediment_Load_tonnes_day,Rainfall,Monthly_Sediment_Yield_tons_ha
1999-06-01,5.112162947966667,7803.681330401532,185.72,0.05598049734864801
1999-07-01,70.14169132193548,208483.6432040172,420.36,1.495578502180898
1999-08-01,92.62686242419355,286101.13179189316,337.22,2.05237540740239
1999-09-01,50.603296838666665,109929.19429012155,177.48,0.7885881943337271
1999-10-01,57.22389855451613,146446.04670479835,143.66,1.0505455287288261
1999-11-01,12.868051102299999,18606.12843504584,10.0,0.13347294429731593
1999-12-01,9.149603754032258,13448.640678661239,10.9,0.09647518420847373
2000-01-01,6.234583191258064,8501.234904039226,0.0,0.06098446846513074
2000-02-01,3.9403113918965516,5021.0629143330525,0.06,0.036019102685316016
2000-03-01,2.1988012902903225,3011.9743463523982,6.640000000000001,0.021606702628065983
2000-04-01,2.734243994666667,3819.657592515708,71.26,0.0274007000897827
2000-05-01,1.931443196032258,2721.323495342347,77.88000000000001,0.01952168934965816
2000-06-01,13.314609991666666,22835.48015576382,170.04,0.1638126266554076
2000-07-01,102.00218235419354,351242.80945139535,422.78,2.519675821028661
2000-08-01,160.65522604096776,635738.1722933354,343.65999999999997,4.560532082448605
2000-09-01,50.51457540933333,110087.81959220706,200.48,0.789726108982834
2000-10-01,46.87531704,101134.26406511338,116.3,0.725496872776997
2000-11-01,13.019850852966666,18843.804267565523,30.92,0.13517793592227778
2000-12-01,5.478073021483871,7711.214880111869,5.64,0.055317179914719294
2001-01-01,3.3229322047741934,4615.709761554624,0.0,0.03311126084328998
2001-02-01,2.077816277357143,2553.8187770524223,1.2999999999999998,0.018320077310275625
2001-03-01,1.8550236264193547,2575.601009238557,15.639999999999999,0.01847633435608721
2001-04-01,1.4234179344,1897.315474764211,24.1,0.013610584467462059
2001-05-01,1.9233147068387098,2740.621097728426,58.36,0.01966012265228426
2001-06-01,14.594027955466666,25847.943895515185,223.56,0.18542283999652212
2001-07-01,87.12403045967741,286883.1571590838,481.86,2.057985345474059
2001-08-01,183.85727926870968,737544.1852654024,361.88,5.2908478139555415
2001-09-01,55.172512698,142041.10578019518,133.88,1.0189462394562065
2001-10-01,13.943946197032258,20774.530547881404,74.92,0.14902819618279342
2001-11-01,6.184224651433333,8463.947149543968,12.84,0.06071698098668557
2001-12-01,3.893316652387097,5364.380693271053,6.0,0.038481927498357625
2002-01-01,2.9804644683225807,4153.992456519576,0.6799999999999999,0.02979908505394244
2002-02-01,2.1619962738214284,2659.6082545922445,0.24,0.019078968827777938
2002-03-01,2.126248913612903,2948.9085877126176,24.12,0.02115429402950228
2002-04-01,1.8364843130666666,2474.342324259408,29.22,0.01774994493729848
2002-05-01,1.2781034427741935,1768.3932695135184,17.84,0.012685747987901853
2002-06-01,24.10415665956667,56237.68667949669,228.02,0.40342673371231486
2002-07-01,86.85177843387098,251246.05523787334,302.92,1.8023389902286466
2002-08-01,145.3491569735484,543293.5730667327,366.84000000000003,3.897371399330938
2002-09-01,75.90195211866667,200192.64220548794,192.38,1.436102167901635
2002-10-01,12.589094353225805,18624.286509419544,13.12,0.13360320308048454
2002-11-01,7.090843826233334,9568.015370351322,16.34,0.06863712604269241
2002-12-01,5.415425966290322,7628.814689140152,5.66,0.054726073810187605
2003-01-01,4.0452133493870965,5556.9186101254745,2.68,0.03986311771969494
2003-02-01,3.3053762669285716,4118.662868248973,7.86,0.02954564467897398
2003-03-01,3.350184081516129,4627.027457938943,14.78,0.03319244948306272
2003-04-01,2.5405035389666666,3437.9493460160256,38.96,0.02466247737457694
2003-05-01,2.4070737775806452,3302.339124824352,8.6,0.02368966373618617
2003-06-01,14.458690120566667,24384.756054501406,166.7,0.17492651402081352
2003-07-01,84.96489994232257,250935.97498369674,361.98,1.8001145981613826
2003-08-01,162.1316904919355,624864.6768887198,348.46,4.482529963333715
2003-09-01,145.37434214066667,527965.3177854494,220.98,3.7874126096517178
2003-10-01,44.690959678387095,112979.98359708732,43.68,0.8104733400078
2003-11-01,8.286639718133333,11428.988550953818,21.88,0.08198700538704318
2003-12-01,5.348082882129033,7465.164238389211,7.12,0.05355211074884657
2004-01-01,3.973983818193548,5405.6956164146995,1.6,0.03877830427844117
2004-02-01,3.3881713868965515,4362.359015364559,12.68,0.031293823639630985
2004-03-01,2.7921806171612906,3842.8371142593264,12.42,0.02756698073356762
2004-04-01,3.2356659555666667,4399.156333849522,51.74,0.0315577929257498
2004-05-01,2.614458878193548,3583.108810278777,11.94,0.025703793474022792
2004-06-01,9.637451184266666,16683.08003282101,162.2,0.11967776207188673
2004-07-01,74.57506184580645,221127.46274326812,394.9,1.5862802205399433
2004-08-01,100.9312317235484,326766.95198882656,304.84000000000003,2.3440957818423716
2004-09-01,51.62509473266667,114975.96015618287,154.42,0.8247916797430622
